c_id,total_energy_generation (kWh),total_tripping_curtailment (kWh),count curtailment (days),total days (days),percentage_of_generation_lost,proportion of days with curtailment,proportion_of_sites
1110972569,5816.908702028132,84.4521921554418,75,243,1.4518397396540978,30.8641975308642,6.024096385542169
347781920,6973.462657290989,94.22738251359824,71,243,1.351228036118905,29.21810699588477,6.2248995983935735
1227039885,6182.973050141363,77.44040844983202,92,243,1.2524785054345575,37.86008230452675,6.425702811244979
1305285980,4537.578486362996,53.54998498611046,87,243,1.1801445450926484,35.80246913580247,6.626506024096386
1341927206,6465.495288006743,74.55349694575987,45,243,1.1530980013867442,18.51851851851852,6.827309236947792
1023709447,5734.516361157364,64.83391446648123,82,243,1.1305908010940997,33.744855967078195,7.028112449799197
479577339,5614.733601466795,52.866473712410205,82,243,0.9415669106473608,33.744855967078195,7.228915662650602
1365659170,6223.050426446073,58.5125696688077,86,243,0.940255431968654,35.390946502057616,7.429718875502007
173654980,6929.492585569523,60.63742318881772,69,243,0.8750629637023277,28.39506172839506,7.630522088353414
1363592770,3464.682270993088,30.2074759571,72,243,0.8718685753669868,29.629629629629623,7.83132530120482
1120958159,13560.451819577802,117.91139472608224,71,243,0.8695240858851659,29.21810699588477,8.032128514056225
406963483,5429.858059858708,45.04275033081497,61,243,0.8295382647992652,25.102880658436217,8.23293172690763
917876513,6085.962496690202,50.15267840273357,73,243,0.8240714337298114,30.04115226337449,8.433734939759036
87228538,4339.950823684069,33.80874009405885,86,243,0.779012054919081,35.390946502057616,8.634538152610443
506285419,4622.792446414058,34.61714396750663,76,243,0.7488362146641359,31.27572016460905,8.835341365461847
389622988,5397.29326235582,34.397169667536765,68,243,0.6373040706801065,27.983539094650205,9.036144578313253
1147871946,5382.296011408881,33.209046819106376,54,243,0.6170052102060717,22.22222222222222,9.236947791164658
1053667170,3621.565965990173,21.26673397344922,49,243,0.5872248130549979,20.16460905349794,9.437751004016064
1690883528,5861.178296056734,31.422526042555425,71,243,0.5361127823682786,29.21810699588477,9.63855421686747
628090576,4311.632380599396,23.08358010520996,66,243,0.5353791341088527,27.160493827160494,9.839357429718875
898652745,6443.840814093447,34.11382984842532,90,243,0.5294021195218589,37.03703703703704,10.040160642570282
295065388,5500.910740996497,27.24959871261216,70,243,0.4953652221536657,28.80658436213992,10.240963855421686
1742055655,5679.041462955962,27.686540111810093,70,243,0.4875213588843767,28.80658436213992,10.441767068273093
12367274,5024.513259973643,24.00352821650097,60,243,0.4777284280990611,24.69135802469136,10.642570281124499
1028074375,6198.051422372204,29.260603364140376,52,243,0.4720935882932923,21.39917695473251,10.843373493975903
1606158999,6955.621090608564,32.43195995135239,52,243,0.466269791422966,21.39917695473251,11.04417670682731
