c_id,total_energy_generation (kWh),total_tripping_curtailment (kWh),count curtailment (days),total days (days),percentage_of_generation_lost,proportion of days with curtailment,proportion_of_sites
1732727321,964.4242774110728,212.61316056792916,38,46,22.04560436187627,82.6086956521739,0.0
1317822057,1157.89911520329,178.69548419449006,36,46,15.432733460817683,78.26086956521739,0.2008032128514056
939510347,1180.3800740829852,90.08516903368944,22,46,7.631878156167191,47.82608695652174,0.4016064257028112
2084803628,1181.382575052396,84.27381378938045,25,46,7.133490502485428,54.34782608695652,0.6024096385542169
1625233287,1149.3289655945644,79.37020085109023,25,46,6.905786178462046,54.34782608695652,0.8032128514056224
441066515,1210.260189647843,77.98728896238826,31,46,6.443844854971287,67.3913043478261,1.0040160642570282
298243910,1158.8470515406443,68.39523432426296,13,46,5.90200701924676,28.26086956521739,1.2048192771084338
1288089120,1184.413677002546,56.04808345230423,17,46,4.732137473635721,36.95652173913043,1.4056224899598393
1926768907,1118.214169731821,51.14220837226653,12,46,4.573561108113293,26.08695652173913,1.6064257028112447
945970002,880.6133314087081,33.705998104915544,10,46,3.827559372851693,21.73913043478261,1.8072289156626504
735922253,770.8678403674793,26.39268483929477,21,46,3.4237626032904878,45.65217391304348,2.0080321285140563
920514420,1270.5184085251406,40.98731221994675,11,46,3.2260305671230824,23.91304347826087,2.208835341365462
690649773,1103.6318328469974,34.311188263415914,16,46,3.108934269765003,34.78260869565217,2.4096385542168677
1839636160,1254.6734880813626,36.15862750652194,17,46,2.8819153229909595,36.95652173913043,2.610441767068273
1909120217,963.3638792537804,25.979989950104738,16,46,2.6967992582645697,34.78260869565217,2.8112449799196786
217453952,832.6806627187382,20.710693385008323,13,46,2.4872312174738176,28.26086956521739,3.0120481927710845
1817947752,796.3223091634754,17.164760744489644,12,46,2.1555041905734083,26.08695652173913,3.2128514056224895
1038443096,1080.2388903397468,21.23736581220932,13,46,1.9659878941712547,28.26086956521739,3.413654618473896
173654980,1579.3288730652305,30.796319933336665,9,46,1.949962446616063,19.565217391304348,3.614457831325301
917876513,1370.86444265238,26.578671397056223,8,46,1.9388256468036476,17.391304347826086,3.815261044176707
1227039885,1429.052294710994,26.802775824796097,10,46,1.8755629814244543,21.73913043478261,4.016064257028113
1782897736,1291.8420365371755,23.3949479776144,8,46,1.8109759023111924,17.391304347826086,4.216867469879518
1033215718,1184.144695263593,20.120071608725382,7,46,1.6991227245456368,15.217391304347828,4.417670682730924
1105174553,1360.9764370985888,22.862754112711706,7,46,1.6798787612702462,15.217391304347828,4.618473895582329
1905319041,804.8596221280284,13.492499197227914,12,46,1.6763791879078351,26.08695652173913,4.819277108433735
1883049647,1353.6886687531287,20.982730078483005,3,46,1.5500410517441965,6.521739130434782,5.020080321285141
1365659170,1414.2169361241258,21.401063388986344,12,46,1.5132800946111689,26.08695652173913,5.220883534136546
824725118,1139.0965638230132,16.506143300101392,5,46,1.4490556660713472,10.869565217391305,5.421686746987952
584950181,1099.933462710915,14.43981925746136,9,46,1.3127902502277486,19.565217391304348,5.622489959839357
915410219,1238.902730935651,15.240510364976323,4,46,1.2301619799858137,8.695652173913043,5.8232931726907635
1754502986,734.4790417791235,7.99452707426967,2,46,1.0884622459620608,4.3478260869565215,6.024096385542169
1053667170,809.7156632220457,8.736544102497636,5,46,1.0789644438558723,10.869565217391305,6.2248995983935735
1489730840,610.7974573453488,6.5545244618806215,16,46,1.0731093234028726,34.78260869565217,6.425702811244979
2058862155,1173.6412725835069,12.463153715549003,6,46,1.061921901239395,13.043478260869565,6.626506024096386
1658280060,1476.7392612100778,14.817252002471935,2,46,1.0033763164345142,4.3478260869565215,6.827309236947792
347781920,1516.4783154841955,15.021060321014431,7,46,0.990522592221727,15.217391304347828,7.028112449799197
1171914822,1072.0697766645294,10.617574673745429,7,46,0.9903809346047692,15.217391304347828,7.228915662650602
898652745,1450.4357291740048,13.499125661246616,10,46,0.9306945071557295,21.73913043478261,7.429718875502007
1690883528,1315.8559164654098,11.892011752380563,5,46,0.9037472570951636,10.869565217391305,7.630522088353414
1023709447,1286.0175797251352,11.35405174479506,14,46,0.8828846451089574,30.434782608695656,7.83132530120482
87228538,1010.4590764212952,8.905300510618805,9,46,0.8813123379680425,19.565217391304348,8.032128514056225
1295562498,686.334588593217,5.800660189438158,8,46,0.8451650675697108,17.391304347826086,8.23293172690763
1305285980,1016.675835554243,8.049386178735883,10,46,0.7917357624957951,21.73913043478261,8.433734939759036
35889201,1493.7956296181435,11.787133919753089,7,46,0.7890727276238055,15.217391304347828,8.634538152610443
981759734,1327.8668823354242,8.412671390748308,6,46,0.6335477977997523,13.043478260869565,8.835341365461847
479577339,1313.0734182195629,8.024630107237687,4,46,0.6111333910116414,8.695652173913043,9.036144578313253
389622988,1229.3860389043116,6.786164898069055,9,46,0.5519962553110831,19.565217391304348,9.236947791164658
515338333,1255.354477788056,6.6541740396536575,4,46,0.5300633532114659,8.695652173913043,9.437751004016064
1290589657,1226.422377861699,6.328194015821391,10,46,0.5159881399795371,21.73913043478261,9.63855421686747
1733245313,431.17831520182926,2.164650907872397,6,46,0.5020314871027665,13.043478260869565,9.839357429718875
680721840,1243.0927872513496,6.237415130179391,2,46,0.5017658532128708,4.3478260869565215,10.040160642570282
1363592770,793.3474026667433,3.9547120728820007,5,46,0.4984842780840656,10.869565217391305,10.240963855421686
1004910241,1285.7343544295231,5.535692012241824,5,46,0.4305471027643183,10.869565217391305,10.441767068273093
1822597721,1087.8035882558993,4.62775946588126,6,46,0.4254223387239468,13.043478260869565,10.642570281124499
1368323443,1497.406054561467,6.098178339824357,13,46,0.4072494779387198,28.26086956521739,10.843373493975903
1028074375,1376.6318086347233,5.25190709364258,6,46,0.3815041219228522,13.043478260869565,11.04417670682731
188647262,1432.64472246645,5.4535331846615325,12,46,0.3806619393587473,26.08695652173913,11.244979919678714
32497732,1493.1714615450037,5.482545906599497,5,46,0.3671745708913185,10.869565217391305,11.44578313253012
